product_id,title,keyword,cat1,cat2,cat3,view,image
173925650,아이패드 매직키보드 아이패드 11인치용,"아이패드프로,매직키보드,애플매직키보드11",디지털/가전,모바일,케이스/보호필름/액세서리,37,https://media.bunjang.co.kr/product/173925650_{cnt}_1640224435_w{res}.jpg
173769310,무선 접이식 키보드,"무선키보드,무선접이식키보드",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),25,https://media.bunjang.co.kr/product/173769310_{cnt}_1640083278_w{res}.jpg
173643726,갤럭시탭s7플러스 + 정품키보드커버,태블릿,디지털/가전,모바일,태블릿,308,https://media.bunjang.co.kr/product/173643726_{cnt}_1640221584_w{res}.jpg
173876555,바밀로 고래 장패드 900x400 팝니다 택포 1.5,"바밀로,장패드,고래,바밀로장패드,키보드",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),41,https://media.bunjang.co.kr/product/173876555_{cnt}_1640220160_w{res}.jpg
173665080,"주연테크 무선 키보드 마우스, 장패드 판매합니다(미개봉)","무선키보드,무선마우스,장패드",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),24,https://media.bunjang.co.kr/product/173665080_{cnt}_1639998715_w{res}.jpg
173744056,아이패드 프로 5세대 12.9  256세룰러 맥직키보드박스풀셋,"아이패드,아이패드프로,아이패드프로5세대,아이패드프로5세대12.9,매직키보드",디지털/가전,모바일,태블릿,429,https://media.bunjang.co.kr/product/173744056_{cnt}_1640069796_w{res}.jpg
173709720,매직 키보드  12.9  5세대용 박스풀셋(영문자판),"아이패드,아이패드프로5세대,아이패드프로,아이패드프로4세대,매직키보드",디지털/가전,모바일,태블릿,128,https://media.bunjang.co.kr/product/173709720_{cnt}_1640044008_w{res}.jpg
173306653,키보드gx61,"키보드,gx61,오디오인테페이스,usb96",디지털/가전,가전제품,생활가전,63,https://media.bunjang.co.kr/product/173306653_{cnt}_1640321278_w{res}.jpg
166082121,Apple 정품 아이패드 스마트 키보드 폴리오,"애플,아이패드",디지털/가전,모바일,태블릿,434,https://media.bunjang.co.kr/product/166082121_{cnt}_1633740127_w{res}.jpg
166081953,아이패드 프로+애플펜슬2세대+스마트 키보드,"애플,아이패드",디지털/가전,모바일,태블릿,368,https://media.bunjang.co.kr/product/166081953_{cnt}_1635015735_w{res}.jpg
173655534,만렙 멀티페어링 무선 블루투스 키보드 단순 개봉 판매합니다.,"키보드,펜타그래프,무선",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),27,https://media.bunjang.co.kr/product/173655534_{cnt}_1640256146_w{res}.jpg
172549415,저소음백축 콕스 CK01 키보드 팝니다~,"파름신,#파름신오신날,##파름신오신날,파름신오신날,#파름신",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),527,https://media.bunjang.co.kr/product/172549415_{cnt}_1639110386_w{res}.jpg
164817033,#튜닝 #기계식키보드 #알루미늄상판,"리줌,rizum,기계식키보드,게이밍키보드",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),269,https://media.bunjang.co.kr/product/164817033_{cnt}_1640162690_w{res}.jpg
172409790,*삼성 무선 키보드마우스 SET 최저가보다 싸게팝니당*,"삼성,무선콤보,키보드,마우스",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),67,https://media.bunjang.co.kr/product/172409790_{cnt}_1639411305_w{res}.jpg
173916767,k480 로지텍 블루투스 키보드,"k480,로지텍,블루투스키보드,화이트,키스킨",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),32,https://media.bunjang.co.kr/product/173916767_{cnt}_1640221531_w{res}.jpg
172413880,*앱코 무선터치패드 무선 키보드 저렴히 판매합니다*,"블루투스키보드,터치패드,키보드,앱코",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),50,https://media.bunjang.co.kr/product/172413880_{cnt}_1640249020_w{res}.jpg
172934660,커세어 k70 청축 기계식키보드,,디지털/가전,PC/노트북,PC주변기기(키보드/마우스),283,https://media.bunjang.co.kr/product/172934660_{cnt}_1640211672_w{res}.jpg
173870040,아이패드에어4+애플펜슬2세대+매직키보드,"아이패드,아이패드에어4,에어4,애플,애플펜슬",디지털/가전,모바일,태블릿,173,https://media.bunjang.co.kr/product/173870040_{cnt}_1640167235_w{res}.jpg
170569819,앱코 MP3300 택포,"마이크,앱코,컴퓨터,키보드,마우스",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),62,https://media.bunjang.co.kr/product/170569819_{cnt}_1639757301_w{res}.jpg
173915993,토체티 저소음 적축 체리키보드,,디지털/가전,PC/노트북,PC주변기기(키보드/마우스),71,https://media.bunjang.co.kr/product/173915993_{cnt}_1640495191_w{res}.jpg
173915193,레이저 헌츠맨 엘리트 US 기계식 키보드 풀박스,"기계식,키보드,퍼플축,레이저",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),26,https://media.bunjang.co.kr/product/173915193_{cnt}_1640218788_w{res}.jpg
173914586,키크론 k3 블루투스 기계식 키보드,,디지털/가전,PC/노트북,PC주변기기(키보드/마우스),25,https://media.bunjang.co.kr/product/173914586_{cnt}_1640241270_w{res}.jpg
167219037, 코시 스마트폰 게이밍키보드 휴대폰 유선연결 키보드,"코시,코지,게이밍키보드,스마트폰키보드",디지털/가전,모바일,케이블/충전기/주변기기,91,https://media.bunjang.co.kr/product/167219037_{cnt}_1634709924_w{res}.jpg
173707371,아이패드 프로 10.5 + 정품 매직키보드 + 애플펜슬1,"아이패드,아이패드프로,아이패드프로10.5,애플펜슬1세대,애플매직키보드",디지털/가전,모바일,태블릿,69,https://media.bunjang.co.kr/product/173707371_{cnt}_1640246929_w{res}.jpg
173909272,로지텍 g913 무선 키보드,,디지털/가전,PC/노트북,PC주변기기(키보드/마우스),135,https://media.bunjang.co.kr/product/173909272_{cnt}_1640313640_w{res}.jpg
173061249,갤럭시탭S7+ 256GB LTE & 정품키보드 케이스,"갤럭시탭s7,갤탭s7,s7플러스,s7+,삼성",디지털/가전,모바일,태블릿,390,https://media.bunjang.co.kr/product/173061249_{cnt}_1640287491_w{res}.jpg
170162435,로지텍 정품 K400 Plus 무선 터치패드 무선 키보드 팝니다. ,"로지텍,블루투스키보드",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),123,https://media.bunjang.co.kr/product/170162435_{cnt}_1639413559_w{res}.jpg
